Day,VOCA,TRANS
day 1,a stack of,많은
day 1,a ton of,매우 많은
day 1,abreast,"나란히, ~와 병행하여"
day 1,absent,결석한
day 1,absentminded,방심 상태의
day 1,absolutely,절대적으로
day 1,absorbed in ,~에 몰두한
day 1,back and forth,"앞뒤로, 반복하여"
day 1,back on one's feet,회복하여
day 1,backstage,무대 뒤
day 1,bank account,은행 예금 계좌
day 1,barely,거의 ~않다
day 1,calculate,"평가하다, 계산하다"
day 1,call off,취소하다
day 1,call on ,방문하다
day 1,calm down,진정시키다
day 1,candidate,"후보자, 지원자"
day 1,capture,"(마음, 관심을) 사로잡다"
day 1,casual,"우연의, 격식을 차리지 않은"
day 1,data entry,자료입력
day 1,dean,확장
day 1,debate,토론하다
day 1,decade,10년
day 1,eager,열정적인
day 1,early riser,일찍 일어나는 사람
day 1,earn,"획득하다, 얻다"
day 1,facilitate,촉진하다
day 1,facility,"설비, 시설"
day 1,faculty,교직원
day 1,fail,낙제하다
day 1,fake,"가짜의, 위조의; 속이다"
day 1,garage,"차고, 수리공장"
day 1,general course,"일반 과목, 기초 이수 과목"
day 1,generalization,"일반화, 보편화"
day 1,habitat,서식지
day 1,hand in ,제출하다
day 1,hand out,나눠주다
day 1,hadicap,신체장애
day 1,ID,신분증
day 1,identity theft,신분 위장 절도
day 1,illegible,읽기 어려운
day 1,illustration,삽화
day 1,lab,"실습실, 연구실; 실습, 실험"
day 1,laptop,노트북 컴퓨터
day 1,lame,"불충분한, 서투른"
day 1,large doses of,많은 양의
day 1,magnificent,"굉장히 좋은, 멋진"
day 1,mailbox,우편함
day 1,maintenance,"유지, 관리, 생활비"
day 1,major disadvantage,주된 단점
day 1,make a breakthrough,"돌파하다, (어려움을)해결하다"
day 1,make a habit of,습관처럼 ~하다
day 1,narrow down,"(범위를)좁히다, 요약하다"
day 1,national,국립의
day 1,object,"물건, 목적"
day 1,observation,관찰
day 1,observe,관찰하다
day 1,obvious,"명백한, 분명한"
day 1,packed,"꽉 찬, 만원의"
day 1,pair up,"짝이 되다, 짝짓게 하다"
day 1,panicky,"공항의, 전전긍긍하는"
day 1,paper,리포트
day 1,paperback,종이 표지의
day 1,paperwork,문서 업무
day 1,paralyzed,마비된
day 1,parking permit,주차 허가(증)
day 1,participate,참가하다
day 1,qualification,자격
day 1,racket,소음
day 1,radically,"철저히, 근본적으로"
day 1,raid,"침입하다, 급습하다"
day 1,rally,집회
day 1,rare,"드문, 진기한, 희귀한"
day 1,sabbatical leave,안식 휴가
day 1,salvage,구출하다
day 1,sane,"제정신의, 건전한"
day 1,scholarship,"장학회, 장학금"
day 1,scientific,과학적인 
day 2,accept,받아들이다
day 2,acclimate,순응하다
day 2,accommodation,"숙소, 숙박 시설"
day 2,accounting technique,회계법
day 2,ace,완벽하게 하다; 최고로
day 2,batter,"강타하다, 부수다"
day 2,battlefield,"전쟁터, 전장"
day 2,be acquainted with,~을 알고 있다
day 2,central heating,중앙 난방
day 2,centralize,집중하다
day 2,challenging,"도전적인, 힘드는"
day 2,chaos,"무질서, 혼돈"
day 2,check in,등록하다
day 2,check out,"대출하다, 확인하다"
day 2,check over,자세히 조사하다
day 2,check with,~와 대조하다
day 2,checkbook,수표장
day 2,decent,상당한
day 2,decipher,"해독하다, 풀다 "
day 2,declare,"선언하다, 단언하다"
day 2,decline,"감소하다, 쇠퇴하다"
day 2,decompose,부패하다
day 2,dedication,헌신
day 2,ecosystem,생태계
day 2,editor,"편집자, 교정자"
day 2,effect,영향
day 2,effectively,효과적으로
day 2,fall apart,부서지다
day 2,fall behind,"뒤처지다, 늦어지다"
day 2,fall through,"실패로 끝나다, 수포로 돌아가다"
day 2,familiarity,"정통, 잘 알고 있음"
day 2,family value,(전통적) 가족의 가치
day 2,fancy,"화려한, 고급의"
day 2,generate,"발생시키다, 생기게하다"
day 2,generosity,"관대, 관용"
day 2,generous,"관대한, 풍부한, (토지가) 비옥한"
day 2,hadicapped,장애가 있는
day 2,handle,"다루다, 하다"
day 2,handwriting,필기
day 2,handy,"손재주가 있는, 솜씨 좋은"
day 2,imitation,모방
day 2,immediately,곧
day 2,immunization,"면역, 예방주사"
day 2,impact,"충돌, 충격"
day 2,imprecise,"부정확한, 불명확한"
day 2,keep on ,계속하다
day 2,late fee,연체료
day 2,later on,나중에
day 2,make a mess,어지럽히다
day 2,make a profit,돈을 벌다
day 2,make a quick stop at,~에 잠깐 들르다
day 2,nauseous,"속이 메스꺼운, 진저리나는"
day 2,occupation,"직업, 업무"
day 2,off-campus,"교외의, 캠퍼스 밖의"
day 2,offer,"제안, 제의; 제의하다"
day 2,particle,"매우 작은 조각, 극소량"
day 2,particular,"까다로운, 꼼꼼한, 특별한"
day 2,part-time job,"시간제 일, 아르바이트"
day 2,pass on to,~에게 전달하다
day 2,pass up,선택하지 않다
day 2,pass-fail option,합격-낙제 여부만 평가하는 제도
day 2,patron,"고객, 손님"
day 2,pave,(길을) 포장하다
day 2,qualify,자격을 얻다
day 2,rave,격찬하다
day 2,rave about,~에 대해 열심히 이야기하다
day 2,react,반응하다
day 2,read up,"(어떤 학과를)연구하다, 복습하다"
day 2,reasonable,"값이 합당한, 논리적인, 정당한"
day 2,reassert,거듭 주장하다
day 2,recipe,요리법
day 2,screen,"심사하다, 선발하다"
day 2,sec,"잠시, 1초"
day 2,second draft,두 번째 수정본
day 2,second thoughts,재고
day 2,security guard,경비
day 2,security,안전
day 2,see to,돌보다
day 2,selective,선택적인
day 2,self-fulfilling,"자기 달성의, 자기 충족의"
day 2,semester,학기
day 2,senior,"4학년의 학생, 최고 학년의"
day 2,serial number,일련번호
day 2,take a raincheck,약속을 후일로 미루다
day 2,take a seat,앉다
day 2,take care of,~을 처리하다
day 2,take down,적어놓다
day 2,take initiative,"모범을 보이다, 솔선하다"
day 2,take it easy,편하게 여기다
day 2,unbearable,"견딜 수 없는, 참기 어려운"
day 2,uncertainty,불확실성
day 2,vacant,"텅빈, 생각이 없는"
day 2,waiver,"기권, 포기"
day 2,zeal,열정 
day 3,ad,광고
day 3,adequately,충분히
day 3,administration,본부
day 3,administrator,"행정관, 관리자"
day 3,admirer,"팬, 찬양자"
day 3,admissions fee,입장료
day 3,be comprised of,~로 구성되다
day 3,be conscious of,~을 인식하다
day 3,be famililar with,"~에 대해 잘 알다, 익숙하다"
day 3,be in over one's head,능력이 미치지 못하다
day 3,cheer up,기운을 내다
day 3,chilly,"추운, 으스스한"
day 3,circuit,전기 회로
day 3,clear up,"날씨가 맑아지다, 처리하다"
day 3,cliché,진부한 말
day 3,deduct,"빼다, 공제하다"
day 3,definitely,분명히
day 3,degree requirement,요구 학점
day 3,deliberately,"신중히, 고의로 "
day 3,deliberation,심사 숙고
day 3,deliver,배달하다
day 3,demanding,"큰 노력을 요하는, 벅찬"
day 3,ego,"자존심, 자아"
day 3,elective,선택 과목
day 3,electrician,전기 기술자
day 3,elicit,"(대답, 웃음 등을) 이끌어 내다"
day 3,eligible,"자격이 있는, 적격의"
day 3,far from,~에서 멀리 떨어진
day 3,fare,요금
day 3,far-fetched,"부자연스러운, 억지의"
day 3,fascinating,"매혹적인, 멋진"
day 3,fatigue,피로
day 3,genius,천재
day 3,genuinely,"정말로, 참으로"
day 3,hang in the scale,어느 쪽으로도 결정되지 않다
day 3,hang on,기다리다
day 3,hangout,"놀만한 곳, 어울릴 수 있는 장소"
day 3,haphazardly,"우연히, 계획성 없이"
day 3,impressive,"인상적인, 감명을 주는, 감동적인"
day 3,impromptu,즉석의 즉흥적인
day 3,improving,나아지고 있는
day 3,in advane,"미리, 앞서서"
day 3,law firm,법률 사무소
day 3,lax,"느슨한, 여유로운"
day 3,make it on time,제시간에 맞추다
day 3,make much noise,상당한 소음을 내다
day 3,make one's own hours,근무 시간을 스스로 조정하다
day 3,make progress,전진을 보이다
day 3,make sure,확인하다
day 3,make the effort,"노력하다, 애쓰다"
day 3,nearby,가까운
day 3,need a hand,도움을 필요로 하다
day 3,office hours,근무시간
day 3,on a budget,예산을 세워
day 3,on account of,~때문에
day 3,pay a fine,벌금을 물다
day 3,payment,납입
day 3,peculiarity,"특색, 특성 "
day 3,peer,동료
day 3,peg,"인정하다, 어림잡다"
day 3,penalize,"징계를 하다, 벌하다"
day 3,penalty,"벌금, 과태로"
day 3,penetrate,"뚫다, 침투하다"
day 3,perform,공연하다
day 3,period,기간
day 3,periodical,정기 간행물
day 3,permission,허가
day 3,quantity,"양, 열량, 질량"
day 3,reclusive,은둔한
day 3,recognition,"표창, 공로"
day 3,recognize,인식하다
day 3,recommend,추천하다
day 3,reconnection,재연결
day 3,redistribute,재부배하다
day 3,serve one right,마땅한 벌을 받다
day 3,session,회의
day 3,set up,"설비하다, 설정하다"
day 3,setting,환경
day 3,severity,혹독
day 3,shame,"유감, 부끄러움"
day 3,sheer,절대적인
day 3,shift,바꾸다; 교대 근무 조
day 3,short on cash,돈이 부족한
day 3,short on time,시간이 모자라는
day 3,take out,꺼내다
day 3,take part in,~에 참가하다
day 3,take seriously,진지하게 받아들이다
day 3,take time off,방학・휴가를 가지다
day 3,unconscious,무의식적인
day 3,under the weather,몸이 좋지 않은
day 3,vague,"막연한, 모호한 "
day 3,VIP,중요 인물
day 3,warning,"경고, 훈계"
day 3,warp,"휘게하다, 뒤틀다"